source,members,n_members,train_n,train_mae,train_rmse,train_r2,train_accuracy_at_thresh,test_n,test_mae,test_rmse,test_r2,test_accuracy_at_thresh
ensemble,Chemberta Embeddings__SVR_RBF + Descriptors__RandomForest + Fingerprints__GradientBoosting + Fingerprints__PLS + Molformer Embeddings__Lasso + Molformer Embeddings__RandomForest,6,163,0.12524825835392245,0.15335059521233532,0.9849161582527219,1.0,41,0.3879166093931638,0.5472514526198602,0.783560871321029,0.7317073170731707
ensemble,Fingerprints__GradientBoosting + Fingerprints__PLS + Molformer Embeddings__Lasso + Molformer Embeddings__RandomForest,4,163,0.1182854332795447,0.14413920122367258,0.9866738328177231,1.0,41,0.40138963856644255,0.5484818977419744,0.7825864897528378,0.7317073170731707
ensemble,Chemberta Embeddings__SVR_RBF + Descriptors__RandomForest + Descriptors__SVR_RBF + Fingerprints__GradientBoosting + Fingerprints__PLS + Fingerprints__RandomForest + Molformer Embeddings__Lasso + Molformer Embeddings__SVR_RBF,8,163,0.11275499231795501,0.1380691439130784,0.9877725949384595,1.0,41,0.3901983369757604,0.5486479674457858,0.7824548126146558,0.7073170731707317
ensemble,Chemberta Embeddings__SVR_RBF + Descriptors__RandomForest + Fingerprints__GradientBoosting + Fingerprints__PLS + Fingerprints__RandomForest + Molformer Embeddings__Lasso + Molformer Embeddings__RandomForest + Molformer Embeddings__SVR_RBF,8,163,0.12735910538131842,0.15485270067547313,0.9846192113910613,1.0,41,0.39119338824539274,0.5488072550070703,0.7823284756019532,0.7073170731707317
ensemble,Descriptors__SVR_RBF + Fingerprints__GradientBoosting + Fingerprints__PLS + Molformer Embeddings__Lasso + Molformer Embeddings__RandomForest + Molformer Embeddings__SVR_RBF,6,163,0.1121014758399603,0.13340861284941952,0.9885841363654956,1.0,41,0.4087015175224918,0.5489168584619217,0.7822415236413147,0.7073170731707317
ensemble,Chemberta Embeddings__RandomForest + Descriptors__RandomForest + Descriptors__SVR_RBF + Fingerprints__GradientBoosting + Fingerprints__PLS + Fingerprints__RandomForest + Molformer Embeddings__Lasso + Molformer Embeddings__SVR_RBF,8,163,0.12865042873233437,0.15877254937720148,0.9838306756908101,1.0,41,0.3998057917962508,0.5489682146864318,0.7822007751156442,0.6829268292682927
ensemble,Chemberta Embeddings__SVR_RBF + Descriptors__RandomForest + Descriptors__SVR_RBF + Fingerprints__GradientBoosting + Fingerprints__RandomForest + Molformer Embeddings__Lasso + Molformer Embeddings__RandomForest,7,163,0.14623481699660767,0.18210718424302555,0.9787286431204327,1.0,41,0.3896205360617955,0.5496055020173659,0.7816948031901247,0.7317073170731707
ensemble,Descriptors__RandomForest + Fingerprints__PLS + Molformer Embeddings__Lasso,3,163,0.126477851750321,0.15947764831706204,0.983686742889105,1.0,41,0.4032499437831306,0.5497639659824739,0.7815689001778117,0.7560975609756098
ensemble,Descriptors__SVR_RBF + Fingerprints__GradientBoosting + Fingerprints__PLS + Fingerprints__RandomForest + Molformer Embeddings__Lasso + Molformer Embeddings__RandomForest,6,163,0.1271092189062908,0.1580820118522992,0.9839710178915424,1.0,41,0.4038860365850771,0.5500664010163736,0.7813285083300393,0.7073170731707317
ensemble,Chemberta Embeddings__SVR_RBF + Descriptors__RandomForest + Descriptors__SVR_RBF + Fingerprints__GradientBoosting + Fingerprints__RandomForest + Molformer Embeddings__Lasso + Molformer Embeddings__RandomForest + Molformer Embeddings__SVR_RBF,8,163,0.1384721086814787,0.1691390488517994,0.9816503069688581,1.0,41,0.3924174873377291,0.5502834226741257,0.781155926215571,0.7073170731707317
ensemble,Chemberta Embeddings__RandomForest + Descriptors__RandomForest + Descriptors__SVR_RBF + Fingerprints__GradientBoosting + Fingerprints__PLS + Molformer Embeddings__Lasso,6,163,0.12802397793223932,0.15939735892899937,0.9837031646477442,1.0,41,0.4031496300281816,0.5502855809642345,0.7811542095368318,0.6585365853658537
